SongName,SongId,Difficulty,Score,Perfect,Perfect+,Far,Lost,Constant,PlayRating
To the Milky Way,tothemilkyway,Future,10001357,1392,1357,0,0,10.5,12.5
Ego Eimi,egoeimi,Future,10001201,1223,1201,0,0,10.5,12.5
eden,edenwacca,Future,10001341,1365,1341,0,0,10.5,12.5
XTREME,xtreme,Future,10001242,1258,1242,0,0,10.5,12.5
Wish Upon a Snow,wishuponasnow,Future,10001287,1309,1287,0,0,10.5,12.5
Libertas,libertas,Beyond,10001014,1048,1014,0,0,10.5,12.5
Aleph-0,alephzero,Future,10000877,919,877,0,0,10.5,12.5
Lightning Screw,lightningscrew,Future,10001159,1192,1159,0,0,10.5,12.5
ultradiaxon-N3,ultradiaxon,Future,10001199,1228,1199,0,0,10.5,12.5
NULL APOPHENIA,nullapophenia,Future,9962747,1293,1239,2,4,10.6,12.413735
Felis,felis,Future,10001114,1153,1114,0,0,10.4,12.4
PUPA,pupa,Future,10001011,1099,1011,0,0,10.4,12.4
Garakuta Doll Play,garakuta,Future,10001025,1035,1025,0,0,10.4,12.4
Ikazuchi,ikazuchi,Future,10001310,1347,1310,0,0,10.4,12.4
Climax,climax,Future,10001333,1367,1333,0,0,10.4,12.4
Chronicle,chronicle,Future,10001241,1264,1241,0,0,10.4,12.4
[X],infinity,Future,10001167,1190,1167,0,0,10.4,12.4
Crimson Throne,crimsonthrone,Future,10001283,1313,1283,0,0,10.4,12.4
Tiferet,tiferet,Future,10001070,1086,1070,0,0,10.4,12.4
IMPACT,impact,Beyond,10001375,1392,1375,0,0,10.4,12.4
GIMME DA BLOOD,gimmedablood,Future,10001074,1093,1074,0,0,10.4,12.4
Lucid Traveler,lucidtraveler,Future,10001320,1341,1320,0,0,10.4,12.4
Singularity VVVIP,singularity,Beyond,10001090,1114,1090,0,0,10.4,12.4
Rise of the World,riseoftheworld,Future,10001149,1176,1149,0,0,10.4,12.4
Valhalla:0,valhallazero,Future,10001161,1173,1161,0,0,10.4,12.4
Lethal Voltage,lethalvoltage,Future,10001477,1497,1477,0,0,10.4,12.4
Arcana Eden,arcanaeden,Future,9973792,1784,1694,6,2,10.5,12.36896
IZANA,izana,Future,10000949,976,949,0,0,10.3,12.3
Nirv lucE,nirvluce,Future,10000934,980,934,0,0,10.3,12.3
Ether Strike,etherstrike,Future,10001143,1170,1143,0,0,10.3,12.3
Pentiment,pentiment,Future,10001290,1345,1290,0,0,10.3,12.3
Metallic Punisher,metallicpunisher,Future,10001216,1238,1216,0,0,10.3,12.3
99 Glooms,nnglooms,Future,10001282,1294,1282,0,0,10.3,12.3
Pentiment,pentiment,Beyond,9757451,1680,1564,37,24,11.4,12.25817
Vicious[ANTi]Heroism,viciousheroism,Beyond,9826693,1728,1637,26,18,11.1,12.233465
To: Alice Liddell,toaliceliddell,Future,9985943,995,974,3,0,10.3,12.229715
Loschen,loschen,Future,10001211,1235,1211,0,0,10.2,12.2
conflict,conflict,Future,10001008,1056,1008,0,0,10.2,12.2
Capella,capella,Future,10001138,1159,1138,0,0,10.2,12.2
G e n g a o z o,gengaozo,Future,10001322,1353,1322,0,0,10.2,12.2
NEO WINGS,neowings,Future,10001316,1328,1316,0,0,10.2,12.2
Magnolia,magnolia,Future,10000882,895,882,0,0,10.2,12.2
aterlbus,aterlbus,Future,10001005,1030,1005,0,0,10.2,12.2
Scarlet Lance,scarletlance,Future,10001090,1130,1090,0,0,10.1,12.1
PRAGMATISM,pragmatism,Future,10000926,942,926,0,0,10.1,12.1
Sheriruth,sheriruth,Future,10001136,1151,1136,0,0,10.1,12.1
Trrricksters!!,trrricksters,Future,10001164,1183,1164,0,0,10.1,12.1
Logos,logos,Future,10001019,1040,1019,0,0,10.1,12.1
Oshama Scramble!,oshamascramble,Future,10001057,1073,1057,0,0,10,12
Vicious Heroism,viciousheroism,Future,10001128,1150,1128,0,0,10,12
trappola bewitching,trappola,Future,10000985,1044,985,0,0,10,12
Alexandrite,alexandrite,Future,10001009,1040,1009,0,0,10,12
Bamboo,take,Future,10001019,1050,1019,0,0,10,12
HIVEMIND,hivemind,Future,10001227,1252,1227,0,0,10,12
Masquerade Legion,masqueradelegion,Future,10001046,1064,1046,0,0,10,12
Antagonism,antagonism,Future,10001117,1142,1117,0,0,9.9,11.9
Arcahv,arcahv,Future,10001037,1065,1037,0,0,9.9,11.9
7thSense,seventhsense,Future,10000894,925,894,0,0,9.9,11.9
SOUNDWiTCH,soundwitch,Future,10000770,785,770,0,0,9.9,11.9
Infinite Strife .,infinitestrife,Future,10001479,1511,1479,0,0,9.9,11.9
World Ender,worldender,Future,10001203,1225,1203,0,0,9.9,11.9
Heavensdoor,heavensdoor,Future,10001086,1101,1086,0,0,9.9,11.9
Astra walkthrough,astrawalkthrough,Future,10001172,1191,1172,0,0,9.9,11.9
MAXRAGE,maxrage,Future,10001151,1184,1151,0,0,9.9,11.9
Nhelv,nhelv,Future,10001082,1108,1082,0,0,9.9,11.9
Genesis ,genesischunithm,Future,10000848,867,848,0,0,9.9,11.9
Devillic Sphere,devillicsphere,Future,10001107,1129,1107,0,0,9.9,11.9
Amekagura,amekagura,Future,10001059,1076,1059,0,0,9.9,11.9
Nameless Passion,namelesspassion,Future,10001205,1223,1205,0,0,9.9,11.9
Trap Crow,trapcrow,Future,10001051,1074,1051,0,0,9.9,11.9
Awaken In Ruins,awakeninruins,Future,10000727,754,727,0,0,9.9,11.9
Lost Desire,lostdesire,Future,10001131,1154,1131,0,0,9.8,11.8
Far Away Light,farawaylight,Future,10001281,1322,1281,0,0,9.8,11.8
Black Territory,blackterritory,Future,10001179,1195,1179,0,0,9.8,11.8
Corruption,corruption,Future,10001278,1293,1278,0,0,9.8,11.8
Defection,defection,Future,10001129,1141,1129,0,0,9.8,11.8
Ai Drew,aidrew,Future,10001050,1066,1050,0,0,9.8,11.8
FLUFFY FLASH,fluffyflash,Future,10001297,1329,1297,0,0,9.8,11.8
THE ULTIMACY,theultimacy,Future,10001269,1304,1269,0,0,9.8,11.8
DX Choseinou Full Metal Shojo,dxfullmetal,Future,10000779,808,779,0,0,9.8,11.8
Callima Karma,callimakarma,Future,10001196,1222,1196,0,0,9.8,11.8
Got hive of Ra,gothiveofra,Future,10000776,794,776,0,0,9.8,11.8
Einherjar Joker,einherjar,Future,10001117,1159,1117,0,0,9.8,11.8
World Fragments III(radio edit),worldfragments,Future,10001347,1387,1347,0,0,9.8,11.8
Linear Accelerator,linearaccelerator,Future,10000867,905,867,0,0,9.8,11.8
Memory Forest,memoryforest,Future,10000956,978,956,0,0,9.8,11.8
Protoflicker,protoflicker,Future,10001021,1042,1021,0,0,9.8,11.8
init(),init,Future,10001194,1204,1194,0,0,9.8,11.8
Hybris (The one who shattered),hybris,Future,10001163,1196,1163,0,0,9.8,11.8
Kanjou no Matenrou ~ Arr.Demetori,matenrou,Future,10001278,1294,1278,0,0,9.8,11.8
Technicolour,technicolour,Future,10001121,1140,1121,0,0,9.8,11.8
To the Furthest Dream,tothefurthestdream,Future,10001091,1102,1091,0,0,9.8,11.8
Ouverture,ouverture,Future,10000877,913,877,0,0,9.8,11.8
Cybernecia Catharsis,cyberneciacatharsis,Beyond,10000985,991,985,0,0,9.8,11.8
Ascent,ascent,Future,10001005,1023,1005,0,0,9.8,11.8
MORNINGLOOM,morningloom,Eternal,10001012,1035,1012,0,0,9.8,11.8
Kanagawa Cyber Culvert,kanagawa,Beyond,9983238,1117,1080,4,0,9.8,11.71619
Sulfur,sulfur,Future,10001033,1045,1033,0,0,9.7,11.7
The Message,themessage,Future,10000974,992,974,0,0,9.7,11.7
BLRINK,blrink,Future,10000994,1015,994,0,0,9.7,11.7
Last | Eternity,lasteternity,Beyond,10000774,790,774,0,0,9.7,11.7
SUPERNOVA,supernova,Future,10001101,1123,1101,0,0,9.7,11.7
Vandalism,vandalism,Future,10001061,1087,1061,0,0,9.7,11.7
Black Lotus,blacklotus,Future,10000951,965,951,0,0,9.7,11.7
Let's Rock (Arcaea mix),letsrock,Future,10001161,1177,1161,0,0,9.7,11.7
AlterAle,alterale,Future,10001242,1277,1242,0,0,9.7,11.7
Monochrome Princess,monochromeprincess,Future,10000948,974,948,0,0,9.7,11.7
Altale,altale,Future,10000658,690,658,0,0,9.7,11.7
Ultimate taste,ultimatetaste,Future,10001379,1405,1379,0,0,9.7,11.7
RGB,rgb,Future,10001109,1131,1109,0,0,9.7,11.7
Oblivia,oblivia,Beyond,10001003,1021,1003,0,0,9.7,11.7
Innocence,innocence,Eternal,10001138,1157,1138,0,0,9.7,11.7
Heart Jackin',heartjackin,Future,10001081,1112,1081,0,0,9.7,11.7
neo kosmo,neokosmo,Future,10000966,979,966,0,0,9.7,11.7
Lethaeus,lethaeus,Future,10000895,900,895,0,0,9.7,11.7
Hotarubi no Yuki,hotarubinoyuki,Future,10000981,991,981,0,0,9.7,11.7
Party Vinyl,partyvinyl,Beyond,9916336,935,903,6,5,10.1,11.68168
Infinity Heaven,infinityheaven,Beyond,10000958,986,958,0,0,9.6,11.6
Loveless Dress,lovelessdress,Future,10000824,850,824,0,0,9.6,11.6
Last|Moment,last,Beyond,10000865,888,865,0,0,9.6,11.6
Vindication,vindication,Future,10001054,1075,1054,0,0,9.6,11.6
LunarOrbit -believe in the Espebranch road-,espebranch,Future,10001051,1058,1051,0,0,9.6,11.6
ENERGY SYNERGY MATRIX,energysynergymatrix,Future,10000895,922,895,0,0,9.6,11.6
Purple Verse,purpleverse,Future,10001001,1023,1001,0,0,9.6,11.6
IMPACT,impact,Future,10001219,1231,1219,0,0,9.6,11.6
Stratoliner,stratoliner,Future,10000861,877,861,0,0,9.6,11.6
Alone & Lorn,aloneandlorn,Future,10000954,970,954,0,0,9.6,11.6
A Wandering Melody of Love,melodyoflove,Future,10000918,931,918,0,0,9.6,11.6
Cybernecia Catharsis,cyberneciacatharsis,Future,10000940,946,940,0,0,9.5,11.5
NULCTRL,nulctrl,Future,10000695,715,695,0,0,9.5,11.5
OMAKENO Stroke,omakeno,Future,10000851,869,851,0,0,9.5,11.5
Illegal Paradise,darakunosono,Future,10001009,1061,1009,0,0,9.5,11.5
STAGER (ALL STAGE CLEAR),stager,Future,10000973,1004,973,0,0,9.5,11.5
GIMMICK,gimmick,Future,10000712,733,712,0,0,9.5,11.5
DRG,drg,Future,10000857,872,857,0,0,9.5,11.5
Remind the Souls (Short Version),remindthesouls,Future,10000929,945,929,0,0,9.5,11.5
Dynitikos,dynitikos,Future,10000969,986,969,0,0,9.5,11.5
Transient Space,transientspace,Future,10000783,805,783,0,0,9.5,11.5
felys final remix,felys,Future,10001114,1130,1114,0,0,9.5,11.5
On And On!! feat. Jenga,onandon,Future,10000822,836,822,0,0,9.5,11.5
Jingle,jingle,Eternal,10001028,1047,1028,0,0,9.5,11.5
odysseia,odysseia,Future,10001082,1092,1082,0,0,9.5,11.5
O.,ichirin,Future,10000698,708,698,0,0,9.5,11.5
Fracture Ray,fractureray,Present,9990127,1340,1297,3,0,9.5,11.450635
CROSS✝SOUL,crosssoul,Future,10001057,1081,1057,0,0,9.4,11.4
Dreamin' Attraction!!,dreaminattraction,Future,10001107,1129,1107,0,0,9.4,11.4
Equilibrium,equilibrium,Future,10000901,951,901,0,0,9.4,11.4
Crystal Gravity,crystalgravity,Future,10000858,872,858,0,0,9.4,11.4
Party Vinyl,partyvinyl,Future,10000741,800,741,0,0,9.4,11.4
CROSS✝OVER,crossover,Future,10001083,1094,1083,0,0,9.4,11.4
Lapis,lapis,Future,10000887,920,887,0,0,9.4,11.4
Red and Blue,redandblue,Future,10000835,845,835,0,0,9.4,11.4
Teriqma,teriqma,Future,10000839,873,839,0,0,9.4,11.4
VECTOR,vector,Future,10001288,1299,1288,0,0,9.4,11.4
Raven's Pride,ravenspride,Future,10001020,1030,1020,0,0,9.4,11.4
FANTA5Y,fantasy,Future,10000945,965,945,0,0,9.4,11.4
inkar-usi,inkarusi,Beyond,10000838,857,838,0,0,9.4,11.4
AI[UE]OON,aiueoon,Future,10000961,989,961,0,0,9.4,11.4
HELLOHELL,hellohell,Eternal,10000757,770,757,0,0,9.4,11.4
Tempestissimo,tempestissimo,Present,9971950,1030,964,2,2,9.5,11.35975
GOODTEK (Arcaea Edit),goodtek,Future,10000955,968,955,0,0,9.3,11.3
Blaster,blaster,Future,10000987,1002,987,0,0,9.3,11.3
Ignotus,ignotus,Future,10001210,1225,1210,0,0,9.3,11.3
Syro,syro,Future,10001141,1150,1141,0,0,9.3,11.3
Sakura Fubuki,sakurafubuki,Future,10000832,837,832,0,0,9.3,11.3
Heart,kokoro,Future,10000843,872,843,0,0,9.3,11.3
MANTIS (Arcaea Ultra-Bloodrush VIP),mantis,Future,10000991,1014,991,0,0,9.3,11.3
False Embellishment,kyogenkigo,Future,10000928,969,928,0,0,9.3,11.3
Glow,glow,Future,10000889,916,889,0,0,9.3,11.3
Lost Emotion feat. nomico,lostemotion,Future,10001094,1123,1094,0,0,9.3,11.3
Can I Friend You on Bassbook? Lol,bassline,Future,10000853,861,853,0,0,9.3,11.3
The Formula,theformula,Future,10000923,957,923,0,0,9.3,11.3
Oracle,oracle,Future,10000936,963,936,0,0,9.3,11.3
Blocked Library,blockedlibrary,Future,10000839,850,839,0,0,9.3,11.3
Lost Civilization,lostcivilization,Future,10000955,986,955,0,0,9.2,11.2
Anokumene,anokumene,Future,10000826,851,826,0,0,9.2,11.2
Alice a la mode,alicealamode,Future,10000854,872,854,0,0,9.2,11.2
Rugie,rugie,Future,10000968,975,968,0,0,9.2,11.2
Dancin' on a Cat's Paw,nekonote,Future,10000866,891,866,0,0,9.2,11.2
Strongholds,strongholds,Future,10000913,922,913,0,0,9.2,11.2
Phantasia,phantasia,Future,10000940,952,940,0,0,9.2,11.2
Used to be,usedtobe,Future,10000779,799,779,0,0,9.2,11.2
Redraw the Colorless World,mukishitsu,Future,10000858,886,858,0,0,9.2,11.2
Libertas,libertas,Future,10000925,947,925,0,0,9.2,11.2
Grievous Lady,grievouslady,Present,9971823,1187,1137,7,0,9.3,11.159115
Alice's Suitcase,alicessuitcase,Future,10000989,999,989,0,0,9.1,11.1
Iconoclast,iconoclast,Future,10000782,795,782,0,0,9.1,11.1
qualia -ideaesthesia-,qualia,Future,10001003,1022,1003,0,0,9.1,11.1
La'qryma of the Wasteland,laqryma,Future,10000933,956,933,0,0,9.1,11.1
Essence of Twilight,essenceoftwilight,Future,10001161,1204,1161,0,0,9.1,11.1
Life is PIANO,lifeispiano,Future,10000653,674,653,0,0,9.1,11.1
Faint Light (Arcaea Edit),faintlight,Future,10000778,809,778,0,0,9.1,11.1
Small Cloud Sugar Candy,smallcloud,Future,10000911,919,911,0,0,9.1,11.1
Blue Rose,bluerose,Future,10000926,955,926,0,0,9.1,11.1
Aegleseeker,aegleseeker,Present,9993100,1233,1198,2,0,9.1,11.0655
Kanagawa Cyber Culvert,kanagawa,Future,10001097,1111,1097,0,0,9,11
Flyburg and Endroll,flyburg,Future,10000918,930,918,0,0,9,11
Jump,jump,Future,10000812,841,812,0,0,9,11
Last,last,Future,10000808,831,808,0,0,9,11
ReviXy,revixy,Future,10001038,1047,1038,0,0,9,11
Turbocharger,turbocharger,Future,10000954,979,954,0,0,9,11
Lawless Point,lawlesspoint,Future,10000821,838,821,0,0,9,11
Primeval Texture,primevaltexture,Future,10000791,810,791,0,0,9,11
Coastal Highway,coastalhighway,Future,10000706,732,706,0,0,9,11
#1f1e33,ifi,Present,9944192,1133,1011,9,2,9.2,10.92096
Chronostasis,chronostasis,Future,10000893,916,893,0,0,8.9,10.9
Flashback,flashback,Future,10000831,856,831,0,0,8.9,10.9
Maze No.9,mazenine,Future,10000749,775,749,0,0,8.9,10.9
MERLIN,merlin,Future,10000688,712,688,0,0,8.9,10.9
memoryfactory.lzh,memoryfactory,Future,10000632,672,632,0,0,8.9,10.9
Give Me a Nightmare,givemeanightmare,Future,10000938,948,938,0,0,8.9,10.9
Suomi,suomi,Eternal,10000728,732,728,0,0,8.9,10.9
Chelsea,chelsea,Future,10000640,650,640,0,0,8.9,10.9
Evoltex (poppi'n mix),evoltex,Future,10000765,775,765,0,0,8.9,10.9
To the Milky Way,tothemilkyway,Present,9992471,1153,1137,0,1,8.9,10.862355
Antithese,antithese,Future,10000852,877,852,0,0,8.8,10.8
Particle Arts,particlearts,Future,10000904,925,904,0,0,8.8,10.8
Dialnote,dialnote,Future,10000674,684,674,0,0,8.8,10.8
Solitary Dream,solitarydream,Future,10000952,972,952,0,0,8.8,10.8
Vivid Theory,vividtheory,Future,10000878,885,878,0,0,8.8,10.8
CYCLES,cycles,Future,10000689,695,689,0,0,8.8,10.8
next to you,nexttoyou,Future,10000803,824,803,0,0,8.8,10.8
Cosmo Pop Funclub,cosmopop,Future,10000780,809,780,0,0,8.8,10.8
Clotho and the stargazer,clotho,Eternal,10001002,1031,1002,0,0,8.8,10.8
Cosmica,cosmica,Future,10000740,773,740,0,0,8.8,10.8
MORNINGLOOM,morningloom,Future,10000914,940,914,0,0,8.8,10.8
Senkyou,senkyou,Future,10000935,964,935,0,0,8.7,10.7
Grimheart,grimheart,Future,10000943,959,943,0,0,8.7,10.7
Paper Witch,paperwitch,Future,10000781,793,781,0,0,8.7,10.7
cry of viyella,viyella,Future,10000757,791,757,0,0,8.7,10.7
Tsuki ni Murakumo Hana ni Kaze,tsukinimurakumo,Future,10000738,740,738,0,0,8.7,10.7
WAIT FOR DAWN,waitfordawn,Future,10000856,861,856,0,0,8.7,10.7
Beside You,besideyou,Future,10000694,703,694,0,0,8.7,10.7
FREEF4LL,freefall,Future,10001012,1023,1012,0,0,8.6,10.6
April showers,aprilshowers,Future,10000688,697,688,0,0,8.6,10.6
enchanted love,enchantedlove,Future,10000745,759,745,0,0,8.6,10.6
Gekka (Short Version),gekka,Future,10000795,817,795,0,0,8.6,10.6
Silent Rush,silentrush,Future,10000919,941,919,0,0,8.6,10.6
Dandelion,dandelion,Future,10000902,921,902,0,0,8.5,10.5
Babaroque,babaroque,Future,10000785,808,785,0,0,8.5,10.5
Reinvent,reinvent,Future,10000824,852,824,0,0,8.5,10.5
Harutopia ~Utopia of Spring~,harutopia,Future,10001053,1061,1053,0,0,8.5,10.5
Altair (feat. *spiLa*),altair,Future,10000800,830,800,0,0,8.5,10.5
syuten,syuten,Future,10000570,592,570,0,0,8.5,10.5
DDD,ddd,Future,10000645,653,645,0,0,8.5,10.5
Sayonara Hatsukoi,sayonarahatsukoi,Eternal,10000712,728,712,0,0,8.5,10.5
Innocence,innocence,Future,10000996,1023,996,0,0,8.5,10.5
Rabbit In The Black Room,rabbitintheblackroom,Future,10000755,772,755,0,0,8.4,10.4
Purgatorium,purgatorium,Future,10000971,983,971,0,0,8.4,10.4
Snow White,snowwhite,Future,10000959,978,959,0,0,8.4,10.4
Eccentric Tale,eccentrictale,Future,10000718,732,718,0,0,8.4,10.4
Lumia,lumia,Future,10000956,961,956,0,0,8.4,10.4
REconstruction,reconstruction,Future,10000821,825,821,0,0,8.4,10.4
Moonheart,moonheart,Future,10000934,947,934,0,0,8.4,10.4
Cyaegha,cyaegha,Present,9990800,983,963,0,1,8.4,10.354
Shades of Light in a Transcendent Realm,shadesoflight,Future,10001056,1067,1056,0,0,8.3,10.3
Oblivia,oblivia,Future,10000944,956,944,0,0,8.3,10.3
Bookmaker (2D Version),bookmaker,Future,10001121,1124,1121,0,0,8.3,10.3
IZANA,izana,Present,10000799,836,799,0,0,8.3,10.3
Avril -Flicka i krans-,avril,Future,10000836,851,836,0,0,8.3,10.3
san skia,sanskia,Future,10001033,1046,1033,0,0,8.3,10.3
Tie me down gently,tiemedowngently,Future,10000715,724,715,0,0,8.3,10.3
REKKA RESONANCE,rekkaresonance,Present,9867773,1034,980,6,11,8.9,10.238865
Lucifer,lucifer,Future,10000846,861,846,0,0,8.2,10.2
One Last Drive,onelastdrive,Future,10000870,885,870,0,0,8.2,10.2
1FV,onefr,Future,10000750,758,750,0,0,8.2,10.2
blue comet,bluecomet,Future,10000763,776,763,0,0,8.2,10.2
Hall of Mirrors,hallofmirrors,Future,10000885,898,885,0,0,8.2,10.2
Genesis,genesis,Future,10000704,713,704,0,0,8.2,10.2
Dantalion,dantalion,Present,9994862,842,794,1,0,8.2,10.17431
TEmPTaTiON,temptation,Present,9987706,766,727,2,0,8.2,10.13853
Diode,diode,Future,10000698,709,698,0,0,8.1,10.1
I've heard it said,hearditsaid,Future,10000856,864,856,0,0,8.1,10.1
Hikari,hikari,Future,10000674,684,674,0,0,8.1,10.1
Bullet Waiting for Me (James Landino remix),bulletwaiting,Future,10000689,701,689,0,0,8.1,10.1
Misdeed -la bonte de Dieu et l'origine du mal-,gou,Present,9902850,1056,981,7,7,8.5,10.01425
world.execute(me),worldexecuteme,Future,10000827,851,827,0,0,8,10
Relentless,relentless,Future,10000997,1015,997,0,0,8,10
Crimson Throne,crimsonthrone,Present,10001070,1079,1070,0,0,8,10
Prism,prism,Future,10000763,785,763,0,0,8,10
Infinity Heaven,infinityheaven,Future,10000815,853,815,0,0,7.8,9.8
Dement ~after legend~,dement,Future,10000958,970,958,0,0,7.8,9.8
Rise,rise,Future,10000770,788,770,0,0,7.8,9.8
inkar-usi,inkarusi,Future,10000458,463,458,0,0,7.8,9.8
Suomi,suomi,Future,10000818,818,818,0,0,7.8,9.8
Clotho and the stargazer,clotho,Future,10001001,1021,1001,0,0,7.8,9.8
Paradise,paradise,Future,10000707,729,707,0,0,7.8,9.8
Brand new world,brandnewworld,Future,10000721,787,721,0,0,7.8,9.8
Jingle,jingle,Future,10000837,848,837,0,0,7.8,9.8
Moonlight of Sand Castle,moonlightofsandcastle,Future,10000640,645,640,0,0,7.8,9.8
First Snow,firstsnow,Future,10000570,578,570,0,0,7.8,9.8
Romance Wars,romancewars,Future,10000639,641,639,0,0,7.8,9.8
AMAZING MIGHTYYYY!!!!,amazingmightyyyy,Present,9974947,772,721,4,0,7.8,9.674735
Arcahv,arcahv,Present,9972570,879,851,5,0,7.8,9.66285
HELLOHELL,hellohell,Future,10000667,673,667,0,0,7.5,9.5
Climax,climax,Present,9925025,977,936,7,4,7.8,9.425125
Vicious Heroism,viciousheroism,Present,9974255,752,711,4,0,7.5,9.371275
Tiferet,tiferet,Present,9889521,706,633,12,2,7.8,9.247605
Singularity,singularity,Present,9845746,662,614,11,5,7.8,9.02873
Sayonara Hatsukoi,sayonarahatsukoi,Future,10000660,666,660,0,0,7,9
Fairytale,fairytale,Future,10000770,782,770,0,0,7,9
GLORY : ROAD,gloryroad,Present,10000967,999,967,0,0,7,9
Vexaria,vexaria,Future,10000712,734,712,0,0,7,9
Blossoms,blossoms,Future,10000645,655,645,0,0,7,9
Lost Civilization,lostcivilization,Present,9957192,686,671,2,2,7,8.78596
Cybernecia Catharsis,cyberneciacatharsis,Present,9916637,647,607,5,3,7,8.583185
Sakura Fubuki,sakurafubuki,Present,9991798,570,555,1,0,6.5,8.45899
Last Celebration,lastcelebration,Present,9975811,991,962,1,2,6.5,8.379055
SOUNDWiTCH,soundwitch,Present,9969720,485,458,3,0,6.5,8.3486
Antagonism,antagonism,Present,9566955,686,560,40,12,7.8,8.023183
Purgatorium,purgatorium,Present,9992821,640,622,1,0,6,7.964105
Anokumene,anokumene,Present,9881473,576,521,10,2,6.5,7.907365
VECTOR,vector,Present,9771382,971,923,16,15,7,7.904607
Ignotus,ignotus,Present,9864759,789,730,18,2,6.5,7.823795
Crystal Gravity,crystalgravity,Present,9847454,637,594,12,4,6.5,7.73727
Testify,testify,Past,9456348,927,804,39,35,7.8,7.654493
Dement ~after legend~,dement,Present,9921342,746,708,8,2,6,7.60671
